latitude,longitude,timestamp,snapped_latitude,snapped_longitude
35.65997642620769,51.37653444451516,2024-04-03 00:02:00+03:30,35.659984,51.376533
35.65988495547106,51.37687366828021,2024-04-03 00:05:00+03:30,35.659892,51.376878
35.689644605531825,51.312000919206326,2024-04-03 04:00:00+03:30,35.687625,51.311103
35.68963201995227,51.3122461178279,2024-04-03 04:02:00+03:30,35.68756,51.311325
35.69007371570527,51.31179902998866,2024-04-03 04:05:00+03:30,35.687727,51.310756
35.689895383124366,51.31176661094639,2024-04-03 04:06:00+03:30,35.687715,51.310798
35.68964072523681,51.31205901837458,2024-04-03 04:08:00+03:30,35.68761,51.311156
35.68965044997863,51.311799295828024,2024-04-03 04:09:00+03:30,35.687678,51.310922
35.68991833569663,51.31210584019115,2024-04-03 04:10:00+03:30,35.68763,51.311089
35.70219961073323,51.33700288497357,2024-04-03 06:00:00+03:30,35.702215,51.336979
35.68985539374685,51.31189429963271,2024-04-03 06:00:00+03:30,35.687677,51.310926
35.689764454309994,51.31209363126061,2024-04-03 06:00:00+03:30,35.687615,51.311139
35.7819778932261,51.374567203293736,2024-04-03 06:01:00+03:30,35.781979,51.37456
35.723894130840335,51.52309304947718,2024-04-03 06:01:00+03:30,35.723902,51.523092
35.781866990818926,51.37430139757589,2024-04-03 06:02:00+03:30,35.781858,51.374308
35.70216004648155,51.3373290122081,2024-04-03 06:02:00+03:30,35.702158,51.337326
35.68972146538432,51.31204922467214,2024-04-03 06:02:00+03:30,35.687622,51.311116
35.72454130747113,51.524162061975744,2024-04-03 06:03:00+03:30,35.724546,51.524148
35.78208292553012,51.37474211316072,2024-04-03 06:03:00+03:30,35.78214,51.374677
35.702096717728665,51.337120040496444,2024-04-03 06:03:00+03:30,35.702195,51.336961
35.701300045542055,51.33709234360532,2024-04-03 06:04:00+03:30,35.700855,51.337375
35.68986421492569,51.31193483351964,2024-04-03 06:04:00+03:30,35.687668,51.310959
35.68984496251517,51.31215591049701,2024-04-03 06:04:00+03:30,35.687608,51.311162
35.772001661863214,51.37015177040914,2024-04-03 06:05:00+03:30,35.772008,51.370152
35.70324942857869,51.33744651167922,2024-04-03 06:05:00+03:30,35.703252,51.337486
35.78185530939939,51.37456306726304,2024-04-03 06:06:00+03:30,35.781854,51.374553
35.78252238863229,51.37478268861648,2024-04-03 06:07:00+03:30,35.78252,51.374776
35.70279268052211,51.337069058804786,2024-04-03 06:07:00+03:30,35.702713,51.337391
35.68991778147124,51.31194757251143,2024-04-03 06:07:00+03:30,35.687671,51.310949
