latitude,longitude,timestamp,cluster,road
32.622394,51.662075,2024-04-03 07:04:00+03:30,9,28810138
35.700574,51.391095,2024-04-03 07:06:00+03:30,7,4294989
32.622605,51.661485,2024-04-03 07:06:00+03:30,9,28810138
32.621285,51.664305,2024-04-03 07:07:00+03:30,9,28810138
35.700901,51.390761,2024-04-03 07:08:00+03:30,7,4294989
35.701218,51.39163,2024-04-03 07:08:00+03:30,7,4294989
35.701159,51.391874,2024-04-03 07:10:00+03:30,7,4294989
35.70099,51.389719,2024-04-03 07:10:00+03:30,7,4294987
35.700792,51.390798,2024-04-03 07:15:00+03:30,7,4294989
35.697179,51.378252,2024-04-03 07:35:00+03:30,10,4297991
35.696718,51.378747,2024-04-03 07:35:00+03:30,10,4297991
35.696689,51.377968,2024-04-03 07:36:00+03:30,10,4297991
35.697035,51.378379,2024-04-03 07:37:00+03:30,10,4297991
35.696291,51.378378,2024-04-03 07:38:00+03:30,10,4297991
35.696105,51.378401,2024-04-03 07:40:00+03:30,10,4297991
35.697323,51.378497,2024-04-03 07:41:00+03:30,10,4297991
35.696634,51.378186,2024-04-03 07:41:00+03:30,10,4297991
35.69772,51.378458,2024-04-03 07:42:00+03:30,10,4297991
35.700987,51.38958,2024-04-03 07:45:00+03:30,7,4294987
35.697631,51.378212,2024-04-03 07:46:00+03:30,10,4297991
35.696504,51.378467,2024-04-03 07:50:00+03:30,10,4297991
35.790842,51.416277,2024-04-03 08:00:00+03:30,11,4295360
36.84172,54.432066,2024-04-03 08:00:00+03:30,12,32786432
35.825861,50.938221,2024-04-03 08:01:00+03:30,13,19394987
36.841921,54.432419,2024-04-03 08:01:00+03:30,12,32786432
35.798498,51.418194,2024-04-03 08:01:00+03:30,14,4295360
35.804928,51.421671,2024-04-03 08:01:00+03:30,15,4431143
35.798865,51.418372,2024-04-03 08:01:00+03:30,14,4295360
35.791413,51.416435,2024-04-03 08:02:00+03:30,11,4295360
35.805087,51.42181,2024-04-03 08:02:00+03:30,15,4431143
32.657789,51.669156,2024-04-03 08:02:00+03:30,-1,4442479
32.67862,51.60268,2024-04-03 08:02:00+03:30,16,35265095
36.841576,54.432441,2024-04-03 08:02:00+03:30,12,32786432
35.825658,50.938439,2024-04-03 08:02:00+03:30,13,19394987
35.826347,50.937817,2024-04-03 08:03:00+03:30,13,19394987
35.826501,50.937848,2024-04-03 08:03:00+03:30,13,19394987
36.841447,54.432569,2024-04-03 08:03:00+03:30,12,32786432
35.826627,50.937907,2024-04-03 08:03:00+03:30,13,19394987
35.798513,51.418106,2024-04-03 08:03:00+03:30,14,4295360
35.804617,51.421415,2024-04-03 08:03:00+03:30,15,4431143
35.790121,51.41609,2024-04-03 08:03:00+03:30,11,4295360
32.678108,51.602814,2024-04-03 08:04:00+03:30,16,35265101
35.826736,50.937959,2024-04-03 08:04:00+03:30,13,19394987
35.804815,51.421691,2024-04-03 08:04:00+03:30,15,4431143
35.790743,51.416049,2024-04-03 08:04:00+03:30,11,4295360
35.790933,51.41698,2024-04-03 08:05:00+03:30,11,4295360
35.798718,51.418206,2024-04-03 08:05:00+03:30,14,4295360
35.804822,51.421456,2024-04-03 08:05:00+03:30,15,4431143
35.806762,51.429053,2024-04-03 08:05:00+03:30,17,4431143
32.678012,51.602696,2024-04-03 08:05:00+03:30,16,35265101
32.677775,51.602308,2024-04-03 08:05:00+03:30,16,35265101
35.792303,51.416582,2024-04-03 08:06:00+03:30,11,4295360
35.80518,51.42192,2024-04-03 08:06:00+03:30,15,4431143
35.80675,51.428525,2024-04-03 08:06:00+03:30,17,4431143
35.80487,51.421495,2024-04-03 08:07:00+03:30,15,4431143
35.805029,51.421755,2024-04-03 08:07:00+03:30,15,4431143
35.80698,51.42931,2024-04-03 08:07:00+03:30,17,4431143
35.790746,51.416037,2024-04-03 08:07:00+03:30,11,4295360
35.798466,51.418083,2024-04-03 08:07:00+03:30,14,4295360
35.805299,51.42206,2024-04-03 08:08:00+03:30,15,4431143
35.806753,51.429005,2024-04-03 08:08:00+03:30,17,4431143
35.791795,51.416468,2024-04-03 08:08:00+03:30,11,4295360
35.798067,51.417888,2024-04-03 08:08:00+03:30,14,4295360
35.798462,51.418176,2024-04-03 08:09:00+03:30,14,4295360
35.807164,51.429454,2024-04-03 08:09:00+03:30,17,4431143
35.791323,51.416363,2024-04-03 08:09:00+03:30,11,4295360
35.791452,51.416428,2024-04-03 08:10:00+03:30,11,4295360
35.797836,51.417822,2024-04-03 08:10:00+03:30,14,4295360
35.807222,51.429492,2024-04-03 08:10:00+03:30,17,4431143
35.798376,51.418134,2024-04-03 08:11:00+03:30,14,4295360
35.806563,51.429361,2024-04-03 08:11:00+03:30,17,4431143
35.798793,51.418242,2024-04-03 08:12:00+03:30,14,4295360
35.806568,51.429696,2024-04-03 08:12:00+03:30,17,4431143
35.807232,51.428921,2024-04-03 08:13:00+03:30,17,4431143
35.790275,51.416124,2024-04-03 08:13:00+03:30,11,4295360
35.806582,51.42936,2024-04-03 08:14:00+03:30,17,4431143
35.798639,51.418262,2024-04-03 08:15:00+03:30,14,4295360
35.799068,51.418471,2024-04-03 08:20:00+03:30,14,4295360
35.701204,51.390929,2024-04-03 08:30:00+03:30,7,4294989
35.792484,51.434868,2024-04-03 08:30:00+03:30,18,4810466
35.793626,51.434652,2024-04-03 08:32:00+03:30,18,4810466
35.793793,51.435211,2024-04-03 08:33:00+03:30,18,4810491
35.792786,51.434908,2024-04-03 08:34:00+03:30,18,4810466
35.79237,51.434999,2024-04-03 08:35:00+03:30,18,4810466
35.793816,51.435456,2024-04-03 08:36:00+03:30,18,4810491
35.793327,51.436328,2024-04-03 08:37:00+03:30,18,4810491
35.792316,51.434898,2024-04-03 08:37:00+03:30,18,4810466
